,partner,period,trade_value_usd,reporter,period_date
1543,Ireland,201605,3661683,Ukraine,2016-05-01
1544,Italy,201605,14092,Ukraine,2016-05-01
1545,Lithuania,201605,11200,Ukraine,2016-05-01
1546,Netherlands,201605,332222,Ukraine,2016-05-01
1547,Poland,201605,538681,Ukraine,2016-05-01
1548,Portugal,201605,20244,Ukraine,2016-05-01
1549,Romania,201605,222216,Ukraine,2016-05-01
1550,Spain,201605,20,Ukraine,2016-05-01
1551,Sweden,201605,93206,Ukraine,2016-05-01
1552,United Arab Emirates,201605,5252,Ukraine,2016-05-01
1589,Austria,201606,26946,Ukraine,2016-06-01
1590,Belgium,201606,358445,Ukraine,2016-06-01
1591,Denmark,201606,3357101,Ukraine,2016-06-01
1592,France,201606,1550031,Ukraine,2016-06-01
1593,Germany,201606,657872,Ukraine,2016-06-01
1594,Greece,201606,78639,Ukraine,2016-06-01
1595,Ireland,201606,5017834,Ukraine,2016-06-01
1596,Italy,201606,4370,Ukraine,2016-06-01
1597,Lithuania,201606,8165,Ukraine,2016-06-01
1598,Netherlands,201606,226864,Ukraine,2016-06-01
1599,Poland,201606,493496,Ukraine,2016-06-01
1600,Portugal,201606,10801,Ukraine,2016-06-01
1601,Romania,201606,39781,Ukraine,2016-06-01
1602,Spain,201606,33,Ukraine,2016-06-01
1603,Sweden,201606,99714,Ukraine,2016-06-01
1604,United Arab Emirates,201606,11915,Ukraine,2016-06-01
1650,Belgium,201607,689161,Ukraine,2016-07-01
1651,Denmark,201607,2938370,Ukraine,2016-07-01
1652,France,201607,1077872,Ukraine,2016-07-01
1653,Germany,201607,538786,Ukraine,2016-07-01
1654,Greece,201607,28855,Ukraine,2016-07-01
1655,Ireland,201607,4603282,Ukraine,2016-07-01
1656,Italy,201607,9534,Ukraine,2016-07-01
1657,Lithuania,201607,8357,Ukraine,2016-07-01
1658,Netherlands,201607,1769324,Ukraine,2016-07-01
1659,Poland,201607,392444,Ukraine,2016-07-01
1660,Portugal,201607,18049,Ukraine,2016-07-01
1661,Romania,201607,20446,Ukraine,2016-07-01
1662,Spain,201607,16,Ukraine,2016-07-01
1663,Sweden,201607,67819,Ukraine,2016-07-01
1664,United Arab Emirates,201607,2466,Ukraine,2016-07-01
1709,Belgium,201608,2050089,Ukraine,2016-08-01
1710,Denmark,201608,3235126,Ukraine,2016-08-01
1711,France,201608,1166723,Ukraine,2016-08-01
1712,Germany,201608,501679,Ukraine,2016-08-01
1713,Greece,201608,16669,Ukraine,2016-08-01
1714,Ireland,201608,5532418,Ukraine,2016-08-01
1715,Italy,201608,21275,Ukraine,2016-08-01
1716,Lithuania,201608,11285,Ukraine,2016-08-01
1717,Netherlands,201608,1992314,Ukraine,2016-08-01
1718,Poland,201608,468144,Ukraine,2016-08-01
1719,Portugal,201608,11432,Ukraine,2016-08-01
1720,Romania,201608,50657,Ukraine,2016-08-01
1721,Spain,201608,4,Ukraine,2016-08-01
1722,Sweden,201608,101936,Ukraine,2016-08-01
1723,United Arab Emirates,201608,7309,Ukraine,2016-08-01
1763,Belgium,201609,356950,Ukraine,2016-09-01
1764,Denmark,201609,2946819,Ukraine,2016-09-01
1765,France,201609,1239185,Ukraine,2016-09-01
1766,Germany,201609,463894,Ukraine,2016-09-01
1767,Greece,201609,22160,Ukraine,2016-09-01
1768,Ireland,201609,6295147,Ukraine,2016-09-01
1769,Italy,201609,7025,Ukraine,2016-09-01
1770,Lithuania,201609,12453,Ukraine,2016-09-01
1771,Luxembourg,201609,29001,Ukraine,2016-09-01
1772,Netherlands,201609,436367,Ukraine,2016-09-01
1773,Poland,201609,468797,Ukraine,2016-09-01
1774,Portugal,201609,37052,Ukraine,2016-09-01
1775,Romania,201609,157623,Ukraine,2016-09-01
1776,Spain,201609,87,Ukraine,2016-09-01
1777,Sweden,201609,75321,Ukraine,2016-09-01
1778,United Arab Emirates,201609,6961,Ukraine,2016-09-01
1819,Belgium,201610,539530,Ukraine,2016-10-01
1820,Denmark,201610,3170170,Ukraine,2016-10-01
1821,France,201610,1108313,Ukraine,2016-10-01
1822,Germany,201610,651749,Ukraine,2016-10-01
1823,Greece,201610,21607,Ukraine,2016-10-01
1824,Hungary,201610,8119,Ukraine,2016-10-01
1825,Ireland,201610,6334266,Ukraine,2016-10-01
1826,Italy,201610,4386,Ukraine,2016-10-01
1827,Lithuania,201610,12380,Ukraine,2016-10-01
1828,Netherlands,201610,916780,Ukraine,2016-10-01
1829,Poland,201610,489444,Ukraine,2016-10-01
1830,Portugal,201610,24908,Ukraine,2016-10-01
1831,Romania,201610,27401,Ukraine,2016-10-01
1832,Spain,201610,148,Ukraine,2016-10-01
1833,Sweden,201610,68698,Ukraine,2016-10-01
1879,Belgium,201611,574515,Ukraine,2016-11-01
1880,Denmark,201611,1910205,Ukraine,2016-11-01
1881,France,201611,1282552,Ukraine,2016-11-01
1882,Germany,201611,697619,Ukraine,2016-11-01
1883,Greece,201611,13448,Ukraine,2016-11-01
1884,Ireland,201611,5107802,Ukraine,2016-11-01
1885,Italy,201611,5810,Ukraine,2016-11-01
1886,Lithuania,201611,10361,Ukraine,2016-11-01
1887,Netherlands,201611,1158567,Ukraine,2016-11-01
1888,Poland,201611,609046,Ukraine,2016-11-01
1889,Portugal,201611,33332,Ukraine,2016-11-01
1890,Romania,201611,27439,Ukraine,2016-11-01
1891,Spain,201611,51,Ukraine,2016-11-01
1892,Sweden,201611,88174,Ukraine,2016-11-01
1893,United Arab Emirates,201611,1729,Ukraine,2016-11-01
1936,Belgium,201612,315305,Ukraine,2016-12-01
1937,Denmark,201612,1308656,Ukraine,2016-12-01
1938,France,201612,1608802,Ukraine,2016-12-01
1939,Germany,201612,678048,Ukraine,2016-12-01
1940,Greece,201612,16672,Ukraine,2016-12-01
1941,Ireland,201612,2235586,Ukraine,2016-12-01
1942,Italy,201612,12069,Ukraine,2016-12-01
1943,Lithuania,201612,7960,Ukraine,2016-12-01
1944,Netherlands,201612,603694,Ukraine,2016-12-01
1945,Poland,201612,438404,Ukraine,2016-12-01
1946,Portugal,201612,31551,Ukraine,2016-12-01
1947,Romania,201612,53278,Ukraine,2016-12-01
1948,Spain,201612,12919,Ukraine,2016-12-01
1949,Sweden,201612,143261,Ukraine,2016-12-01
1950,United Arab Emirates,201612,2064,Ukraine,2016-12-01
38,Belgium,201401,4472349,Belarus,2014-01-01
39,Denmark,201401,2233438,Belarus,2014-01-01
40,France,201401,1522872,Belarus,2014-01-01
41,Germany,201401,1028700,Belarus,2014-01-01
42,Ireland,201401,10676138,Belarus,2014-01-01
43,Italy,201401,4685,Belarus,2014-01-01
44,Lithuania,201401,5629,Belarus,2014-01-01
45,Netherlands,201401,1087006,Belarus,2014-01-01
46,Poland,201401,660868,Belarus,2014-01-01
47,Portugal,201401,3662,Belarus,2014-01-01
48,Romania,201401,188706,Belarus,2014-01-01
49,Spain,201401,68,Belarus,2014-01-01
50,Sweden,201401,66625,Belarus,2014-01-01
88,Belgium,201402,1979879,Belarus,2014-02-01
89,Denmark,201402,2074297,Belarus,2014-02-01
90,Finland,201402,12,Belarus,2014-02-01
91,France,201402,1444455,Belarus,2014-02-01
92,Germany,201402,965310,Belarus,2014-02-01
93,Ireland,201402,10091544,Belarus,2014-02-01
94,Italy,201402,11570,Belarus,2014-02-01
95,Lithuania,201402,9331,Belarus,2014-02-01
96,Netherlands,201402,1234982,Belarus,2014-02-01
97,Poland,201402,589430,Belarus,2014-02-01
98,Portugal,201402,6203,Belarus,2014-02-01
99,Romania,201402,216168,Belarus,2014-02-01
100,Sweden,201402,58640,Belarus,2014-02-01
101,Ukraine,201402,3733,Belarus,2014-02-01
141,Belgium,201403,2258058,Belarus,2014-03-01
142,Czechia,201403,15874,Belarus,2014-03-01
143,Denmark,201403,2523620,Belarus,2014-03-01
144,France,201403,1414291,Belarus,2014-03-01
145,Germany,201403,904917,Belarus,2014-03-01
146,Ireland,201403,8843285,Belarus,2014-03-01
147,Italy,201403,4405,Belarus,2014-03-01
148,Lithuania,201403,5777,Belarus,2014-03-01
149,Netherlands,201403,1146653,Belarus,2014-03-01
150,Poland,201403,520111,Belarus,2014-03-01
151,Romania,201403,270248,Belarus,2014-03-01
152,Slovakia,201403,21069,Belarus,2014-03-01
153,Sweden,201403,55889,Belarus,2014-03-01
193,Belgium,201404,3258041,Belarus,2014-04-01
194,Denmark,201404,2453031,Belarus,2014-04-01
195,France,201404,1912257,Belarus,2014-04-01
196,Germany,201404,2356043,Belarus,2014-04-01
197,Ireland,201404,7453388,Belarus,2014-04-01
198,Italy,201404,3132,Belarus,2014-04-01
199,Latvia,201404,567,Belarus,2014-04-01
200,Lithuania,201404,9233,Belarus,2014-04-01
201,Netherlands,201404,628597,Belarus,2014-04-01
202,Poland,201404,913968,Belarus,2014-04-01
203,Portugal,201404,12755,Belarus,2014-04-01
204,Romania,201404,328091,Belarus,2014-04-01
205,Slovakia,201404,23112,Belarus,2014-04-01
206,Sweden,201404,80140,Belarus,2014-04-01
207,United Arab Emirates,201404,5499,Belarus,2014-04-01
208,USA,201404,2415,Belarus,2014-04-01
245,Belgium,201405,2707248,Belarus,2014-05-01
246,Denmark,201405,2311364,Belarus,2014-05-01
247,France,201405,1638838,Belarus,2014-05-01
248,Germany,201405,2199671,Belarus,2014-05-01
249,Ireland,201405,11065926,Belarus,2014-05-01
250,Italy,201405,9950,Belarus,2014-05-01
251,Lithuania,201405,9354,Belarus,2014-05-01
252,Netherlands,201405,664032,Belarus,2014-05-01
253,Poland,201405,716363,Belarus,2014-05-01
254,Portugal,201405,912,Belarus,2014-05-01
255,Romania,201405,225281,Belarus,2014-05-01
256,Slovakia,201405,45434,Belarus,2014-05-01
257,Sweden,201405,64547,Belarus,2014-05-01
258,United Arab Emirates,201405,6742,Belarus,2014-05-01
296,Belgium,201406,1346169,Belarus,2014-06-01
297,Denmark,201406,1972893,Belarus,2014-06-01
298,France,201406,1449614,Belarus,2014-06-01
299,Germany,201406,1856919,Belarus,2014-06-01
300,Ireland,201406,7597407,Belarus,2014-06-01
301,Italy,201406,8011,Belarus,2014-06-01
302,Latvia,201406,250,Belarus,2014-06-01
303,Lithuania,201406,7081,Belarus,2014-06-01
304,Netherlands,201406,846077,Belarus,2014-06-01
305,Poland,201406,653091,Belarus,2014-06-01
306,Portugal,201406,10212,Belarus,2014-06-01
307,Romania,201406,212888,Belarus,2014-06-01
308,Sweden,201406,61816,Belarus,2014-06-01
345,Belgium,201407,1417956,Belarus,2014-07-01
346,Czechia,201407,60529,Belarus,2014-07-01
347,Denmark,201407,2978905,Belarus,2014-07-01
348,France,201407,2096771,Belarus,2014-07-01
349,Germany,201407,1817270,Belarus,2014-07-01
350,Ireland,201407,7709174,Belarus,2014-07-01
351,Italy,201407,6194,Belarus,2014-07-01
352,Lithuania,201407,7836,Belarus,2014-07-01
353,Netherlands,201407,1920054,Belarus,2014-07-01
354,Poland,201407,775151,Belarus,2014-07-01
355,Portugal,201407,8690,Belarus,2014-07-01
356,Romania,201407,243713,Belarus,2014-07-01
357,Sweden,201407,81222,Belarus,2014-07-01
358,United Arab Emirates,201407,4644,Belarus,2014-07-01
388,Belgium,201408,1055282,Belarus,2014-08-01
389,Denmark,201408,2304108,Belarus,2014-08-01
390,France,201408,1474883,Belarus,2014-08-01
391,Germany,201408,1280432,Belarus,2014-08-01
392,Ireland,201408,9093382,Belarus,2014-08-01
393,Italy,201408,6611,Belarus,2014-08-01
394,Lithuania,201408,8026,Belarus,2014-08-01
395,Netherlands,201408,732366,Belarus,2014-08-01
396,Poland,201408,612995,Belarus,2014-08-01
397,Portugal,201408,12539,Belarus,2014-08-01
398,Romania,201408,291120,Belarus,2014-08-01
399,Sweden,201408,57756,Belarus,2014-08-01
400,United Arab Emirates,201408,4543,Belarus,2014-08-01
439,Belgium,201409,1209182,Belarus,2014-09-01
440,Denmark,201409,2804709,Belarus,2014-09-01
441,France,201409,1259777,Belarus,2014-09-01
442,Germany,201409,1001417,Belarus,2014-09-01
443,Ireland,201409,11583314,Belarus,2014-09-01
444,Italy,201409,6478,Belarus,2014-09-01
445,Latvia,201409,440,Belarus,2014-09-01
446,Lithuania,201409,8857,Belarus,2014-09-01
447,Netherlands,201409,591458,Belarus,2014-09-01
448,Poland,201409,592643,Belarus,2014-09-01
449,Portugal,201409,6708,Belarus,2014-09-01
450,Romania,201409,213861,Belarus,2014-09-01
451,United Arab Emirates,201409,5541,Belarus,2014-09-01
485,Belgium,201410,954886,Belarus,2014-10-01
486,Denmark,201410,2539499,Belarus,2014-10-01
487,France,201410,1483422,Belarus,2014-10-01
488,Germany,201410,1245985,Belarus,2014-10-01
489,Ireland,201410,10370276,Belarus,2014-10-01
490,Italy,201410,6568,Belarus,2014-10-01
491,Lithuania,201410,9668,Belarus,2014-10-01
492,Netherlands,201410,628061,Belarus,2014-10-01
493,Poland,201410,796364,Belarus,2014-10-01
494,Portugal,201410,14070,Belarus,2014-10-01
495,Romania,201410,224332,Belarus,2014-10-01
496,Sweden,201410,72922,Belarus,2014-10-01
497,United Arab Emirates,201410,7046,Belarus,2014-10-01
535,Belgium,201411,830868,Belarus,2014-11-01
536,Denmark,201411,2531334,Belarus,2014-11-01
537,France,201411,1720555,Belarus,2014-11-01
538,Germany,201411,938146,Belarus,2014-11-01
539,Ireland,201411,9939612,Belarus,2014-11-01
540,Italy,201411,9087,Belarus,2014-11-01
541,Latvia,201411,421,Belarus,2014-11-01
542,Lithuania,201411,7123,Belarus,2014-11-01
543,Netherlands,201411,635258,Belarus,2014-11-01
544,Poland,201411,714463,Belarus,2014-11-01
545,Portugal,201411,4843,Belarus,2014-11-01
546,Romania,201411,216781,Belarus,2014-11-01
547,Sweden,201411,67693,Belarus,2014-11-01
548,United Arab Emirates,201411,1680,Belarus,2014-11-01
592,Belgium,201412,693418,Belarus,2014-12-01
593,Denmark,201412,2705409,Belarus,2014-12-01
594,France,201412,1958660,Belarus,2014-12-01
595,Germany,201412,1240925,Belarus,2014-12-01
596,Ireland,201412,6956193,Belarus,2014-12-01
597,Italy,201412,4637,Belarus,2014-12-01
598,Lithuania,201412,5249,Belarus,2014-12-01
599,Netherlands,201412,562979,Belarus,2014-12-01
600,Poland,201412,689128,Belarus,2014-12-01
601,Portugal,201412,44871,Belarus,2014-12-01
602,Romania,201412,74990,Belarus,2014-12-01
603,Sweden,201412,102384,Belarus,2014-12-01
604,United Arab Emirates,201412,2572,Belarus,2014-12-01
639,Belgium,201501,1417368,Belarus,2015-01-01
640,Denmark,201501,2546926,Belarus,2015-01-01
641,France,201501,1051717,Belarus,2015-01-01
642,Germany,201501,632917,Belarus,2015-01-01
643,Ireland,201501,6619690,Belarus,2015-01-01
644,Italy,201501,5893,Belarus,2015-01-01
645,Latvia,201501,683,Belarus,2015-01-01
646,Lithuania,201501,15649,Belarus,2015-01-01
647,Netherlands,201501,725724,Belarus,2015-01-01
648,Poland,201501,795567,Belarus,2015-01-01
649,Portugal,201501,27407,Belarus,2015-01-01
650,Romania,201501,176081,Belarus,2015-01-01
651,Spain,201501,15,Belarus,2015-01-01
652,Sweden,201501,72453,Belarus,2015-01-01
653,United Arab Emirates,201501,5811,Belarus,2015-01-01
691,Belgium,201502,1108180,Belarus,2015-02-01
692,Czechia,201502,48442,Belarus,2015-02-01
693,Denmark,201502,2525242,Belarus,2015-02-01
694,France,201502,1330504,Belarus,2015-02-01
695,Germany,201502,653240,Belarus,2015-02-01
696,Ireland,201502,4895736,Belarus,2015-02-01
697,Italy,201502,8163,Belarus,2015-02-01
698,Lithuania,201502,8523,Belarus,2015-02-01
699,Netherlands,201502,766167,Belarus,2015-02-01
700,Poland,201502,772974,Belarus,2015-02-01
701,Portugal,201502,38184,Belarus,2015-02-01
702,Romania,201502,185354,Belarus,2015-02-01
703,Sweden,201502,64891,Belarus,2015-02-01
704,United Arab Emirates,201502,4347,Belarus,2015-02-01
742,Belgium,201503,1105367,Belarus,2015-03-01
743,Denmark,201503,3365509,Belarus,2015-03-01
744,France,201503,1414615,Belarus,2015-03-01
745,Germany,201503,696441,Belarus,2015-03-01
746,Ireland,201503,4762091,Belarus,2015-03-01
747,Italy,201503,2262,Belarus,2015-03-01
748,Lithuania,201503,13237,Belarus,2015-03-01
749,Netherlands,201503,1506640,Belarus,2015-03-01
750,Poland,201503,765055,Belarus,2015-03-01
751,Portugal,201503,48868,Belarus,2015-03-01
752,Romania,201503,187694,Belarus,2015-03-01
753,Spain,201503,18,Belarus,2015-03-01
754,Sweden,201503,75952,Belarus,2015-03-01
755,United Arab Emirates,201503,6875,Belarus,2015-03-01
798,Belgium,201504,861220,Belarus,2015-04-01
799,Czechia,201504,75,Belarus,2015-04-01
800,Denmark,201504,2447975,Belarus,2015-04-01
801,France,201504,1112012,Belarus,2015-04-01
802,Germany,201504,620002,Belarus,2015-04-01
803,Hungary,201504,1145,Belarus,2015-04-01
804,Ireland,201504,8454005,Belarus,2015-04-01
805,Italy,201504,7575,Belarus,2015-04-01
806,Lithuania,201504,10977,Belarus,2015-04-01
807,Netherlands,201504,587965,Belarus,2015-04-01
808,Poland,201504,657534,Belarus,2015-04-01
809,Portugal,201504,20116,Belarus,2015-04-01
810,Romania,201504,184715,Belarus,2015-04-01
811,Spain,201504,25904,Belarus,2015-04-01
812,Sweden,201504,77072,Belarus,2015-04-01
813,United Arab Emirates,201504,5831,Belarus,2015-04-01
854,Belgium,201505,657685,Belarus,2015-05-01
855,Czechia,201505,232,Belarus,2015-05-01
856,Denmark,201505,2459139,Belarus,2015-05-01
857,France,201505,1114603,Belarus,2015-05-01
858,Germany,201505,645384,Belarus,2015-05-01
859,Hungary,201505,288,Belarus,2015-05-01
860,Ireland,201505,7622400,Belarus,2015-05-01
861,Italy,201505,7283,Belarus,2015-05-01
862,Lithuania,201505,11781,Belarus,2015-05-01
863,Netherlands,201505,943269,Belarus,2015-05-01
864,Poland,201505,658990,Belarus,2015-05-01
865,Portugal,201505,50539,Belarus,2015-05-01
866,Romania,201505,249387,Belarus,2015-05-01
867,Sweden,201505,72073,Belarus,2015-05-01
868,United Arab Emirates,201505,4361,Belarus,2015-05-01
914,Austria,201506,19724,Belarus,2015-06-01
915,Belgium,201506,845534,Belarus,2015-06-01
916,Czechia,201506,100,Belarus,2015-06-01
917,Denmark,201506,3505316,Belarus,2015-06-01
918,France,201506,1465829,Belarus,2015-06-01
919,Germany,201506,844478,Belarus,2015-06-01
920,Hungary,201506,95,Belarus,2015-06-01
921,Ireland,201506,8081949,Belarus,2015-06-01
922,Italy,201506,6238,Belarus,2015-06-01
923,Lithuania,201506,15295,Belarus,2015-06-01
924,Netherlands,201506,991199,Belarus,2015-06-01
925,Poland,201506,690630,Belarus,2015-06-01
926,Portugal,201506,11671,Belarus,2015-06-01
927,Romania,201506,211131,Belarus,2015-06-01
928,Spain,201506,3,Belarus,2015-06-01
929,Sweden,201506,73396,Belarus,2015-06-01
930,United Arab Emirates,201506,10355,Belarus,2015-06-01
971,Belgium,201507,495677,Belarus,2015-07-01
972,Denmark,201507,2670972,Belarus,2015-07-01
973,France,201507,1402704,Belarus,2015-07-01
974,Germany,201507,938409,Belarus,2015-07-01
975,Hungary,201507,394,Belarus,2015-07-01
976,Ireland,201507,7947925,Belarus,2015-07-01
977,Italy,201507,9969,Belarus,2015-07-01
978,Lithuania,201507,13440,Belarus,2015-07-01
979,Netherlands,201507,665452,Belarus,2015-07-01
980,Poland,201507,792611,Belarus,2015-07-01
981,Portugal,201507,10630,Belarus,2015-07-01
982,Romania,201507,209893,Belarus,2015-07-01
983,Spain,201507,3,Belarus,2015-07-01
984,Sweden,201507,90328,Belarus,2015-07-01
985,United Arab Emirates,201507,9311,Belarus,2015-07-01
1030,Belgium,201508,523085,Belarus,2015-08-01
1031,Czechia,201508,44322,Belarus,2015-08-01
1032,Denmark,201508,2703235,Belarus,2015-08-01
1033,France,201508,1521801,Belarus,2015-08-01
1034,Germany,201508,1049439,Belarus,2015-08-01
1035,Ireland,201508,7557977,Belarus,2015-08-01
1036,Italy,201508,3581,Belarus,2015-08-01
1037,Lithuania,201508,6022,Belarus,2015-08-01
1038,Netherlands,201508,1117444,Belarus,2015-08-01
1039,Poland,201508,544891,Belarus,2015-08-01
1040,Portugal,201508,20431,Belarus,2015-08-01
1041,Romania,201508,206720,Belarus,2015-08-01
1042,Sweden,201508,77625,Belarus,2015-08-01
1043,United Arab Emirates,201508,6504,Belarus,2015-08-01
1083,Belgium,201509,680722,Belarus,2015-09-01
1084,Denmark,201509,3666445,Belarus,2015-09-01
1085,France,201509,1149759,Belarus,2015-09-01
1086,Germany,201509,968633,Belarus,2015-09-01
1087,Hungary,201509,341,Belarus,2015-09-01
1088,Ireland,201509,9273048,Belarus,2015-09-01
1089,Italy,201509,3472,Belarus,2015-09-01
1090,Lithuania,201509,10410,Belarus,2015-09-01
1091,Netherlands,201509,326382,Belarus,2015-09-01
1092,Poland,201509,786183,Belarus,2015-09-01
1093,Portugal,201509,21464,Belarus,2015-09-01
1094,Romania,201509,188676,Belarus,2015-09-01
1095,Sweden,201509,81038,Belarus,2015-09-01
1096,United Arab Emirates,201509,6091,Belarus,2015-09-01
1138,Belgium,201510,774744,Belarus,2015-10-01
1139,Czechia,201510,40,Belarus,2015-10-01
1140,Denmark,201510,2958647,Belarus,2015-10-01
1141,France,201510,1180925,Belarus,2015-10-01
1142,Germany,201510,733032,Belarus,2015-10-01
1143,Hungary,201510,509,Belarus,2015-10-01
1144,Ireland,201510,8373115,Belarus,2015-10-01
1145,Italy,201510,4567,Belarus,2015-10-01
1146,Lithuania,201510,12503,Belarus,2015-10-01
1147,Netherlands,201510,410541,Belarus,2015-10-01
1148,Poland,201510,796451,Belarus,2015-10-01
1149,Portugal,201510,25213,Belarus,2015-10-01
1150,Romania,201510,201524,Belarus,2015-10-01
1151,Sweden,201510,87712,Belarus,2015-10-01
1152,United Arab Emirates,201510,3059,Belarus,2015-10-01
1193,Belgium,201511,880449,Belarus,2015-11-01
1194,Czechia,201511,166,Belarus,2015-11-01
1195,Denmark,201511,2993578,Belarus,2015-11-01
1196,France,201511,1291013,Belarus,2015-11-01
1197,Germany,201511,609763,Belarus,2015-11-01
1198,Ireland,201511,7167864,Belarus,2015-11-01
1199,Italy,201511,3328,Belarus,2015-11-01
1200,Lithuania,201511,12152,Belarus,2015-11-01
1201,Netherlands,201511,275926,Belarus,2015-11-01
1202,Poland,201511,736554,Belarus,2015-11-01
1203,Portugal,201511,6707,Belarus,2015-11-01
1204,Romania,201511,180268,Belarus,2015-11-01
1205,Spain,201511,29,Belarus,2015-11-01
1206,Sweden,201511,95086,Belarus,2015-11-01
1207,United Arab Emirates,201511,6214,Belarus,2015-11-01
1252,Belgium,201512,492561,Belarus,2015-12-01
1253,Denmark,201512,2831334,Belarus,2015-12-01
1254,France,201512,1673158,Belarus,2015-12-01
1255,Germany,201512,628091,Belarus,2015-12-01
1256,Ireland,201512,5310221,Belarus,2015-12-01
1257,Italy,201512,5440,Belarus,2015-12-01
1258,Lithuania,201512,13879,Belarus,2015-12-01
1259,Netherlands,201512,612670,Belarus,2015-12-01
1260,Poland,201512,570193,Belarus,2015-12-01
1261,Portugal,201512,10902,Belarus,2015-12-01
1262,Romania,201512,189460,Belarus,2015-12-01
1263,Spain,201512,13,Belarus,2015-12-01
1264,Sweden,201512,151327,Belarus,2015-12-01
1265,United Arab Emirates,201512,11734,Belarus,2015-12-01
1307,Belgium,201601,207003,Belarus,2016-01-01
1308,Czechia,201601,39798,Belarus,2016-01-01
1309,Denmark,201601,3403432,Belarus,2016-01-01
1310,France,201601,1268114,Belarus,2016-01-01
1311,Germany,201601,585780,Belarus,2016-01-01
1312,Hungary,201601,11666,Belarus,2016-01-01
1313,Ireland,201601,5321072,Belarus,2016-01-01
1314,Italy,201601,9641,Belarus,2016-01-01
1315,Lithuania,201601,11731,Belarus,2016-01-01
1316,Netherlands,201601,455555,Belarus,2016-01-01
1317,Poland,201601,539096,Belarus,2016-01-01
1318,Portugal,201601,30965,Belarus,2016-01-01
1319,Romania,201601,270496,Belarus,2016-01-01
1320,Spain,201601,269,Belarus,2016-01-01
1321,Sweden,201601,69352,Belarus,2016-01-01
1322,United Arab Emirates,201601,2872,Belarus,2016-01-01
1364,Belgium,201602,348806,Belarus,2016-02-01
1365,Czechia,201602,14,Belarus,2016-02-01
1366,Denmark,201602,3378772,Belarus,2016-02-01
1367,France,201602,1379312,Belarus,2016-02-01
1368,Germany,201602,570720,Belarus,2016-02-01
1369,Hungary,201602,2287,Belarus,2016-02-01
1370,Ireland,201602,4195047,Belarus,2016-02-01
1371,Italy,201602,6990,Belarus,2016-02-01
1372,Lithuania,201602,14315,Belarus,2016-02-01
1373,Netherlands,201602,597323,Belarus,2016-02-01
1374,Poland,201602,630549,Belarus,2016-02-01
1375,Portugal,201602,28908,Belarus,2016-02-01
1376,Romania,201602,283749,Belarus,2016-02-01
1377,Spain,201602,104,Belarus,2016-02-01
1378,Sweden,201602,81900,Belarus,2016-02-01
1379,United Arab Emirates,201602,8287,Belarus,2016-02-01
1417,Belgium,201603,286704,Belarus,2016-03-01
1418,Denmark,201603,3392605,Belarus,2016-03-01
1419,France,201603,1030791,Belarus,2016-03-01
1420,Germany,201603,723009,Belarus,2016-03-01
1421,Ireland,201603,5287814,Belarus,2016-03-01
1422,Italy,201603,4052,Belarus,2016-03-01
1423,Latvia,201603,3412,Belarus,2016-03-01
1424,Lithuania,201603,2909,Belarus,2016-03-01
1425,Netherlands,201603,481448,Belarus,2016-03-01
1426,Poland,201603,566554,Belarus,2016-03-01
1427,Portugal,201603,14531,Belarus,2016-03-01
1428,Romania,201603,224267,Belarus,2016-03-01
1429,Spain,201603,10,Belarus,2016-03-01
1430,Sweden,201603,106903,Belarus,2016-03-01
1431,United Arab Emirates,201603,13488,Belarus,2016-03-01
1479,Belgium,201604,268067,Belarus,2016-04-01
1480,Czechia,201604,42779,Belarus,2016-04-01
1481,Denmark,201604,2845210,Belarus,2016-04-01
1482,France,201604,1102350,Belarus,2016-04-01
1483,Germany,201604,481988,Belarus,2016-04-01
1484,Greece,201604,11726,Belarus,2016-04-01
1485,Ireland,201604,4391360,Belarus,2016-04-01
1486,Italy,201604,7425,Belarus,2016-04-01
1487,Lithuania,201604,9872,Belarus,2016-04-01
1488,Netherlands,201604,421689,Belarus,2016-04-01
1489,Poland,201604,450847,Belarus,2016-04-01
1490,Portugal,201604,34270,Belarus,2016-04-01
1491,Romania,201604,262223,Belarus,2016-04-01
1492,Spain,201604,47,Belarus,2016-04-01
1493,Sweden,201604,64470,Belarus,2016-04-01
1494,United Arab Emirates,201604,11626,Belarus,2016-04-01
1538,Belgium,201605,305341,Belarus,2016-05-01
1539,Denmark,201605,3857904,Belarus,2016-05-01
1540,France,201605,1089468,Belarus,2016-05-01
1541,Germany,201605,487079,Belarus,2016-05-01
1542,Greece,201605,15063,Belarus,2016-05-01
1543,Ireland,201605,3661683,Belarus,2016-05-01
1544,Italy,201605,14092,Belarus,2016-05-01
1545,Lithuania,201605,11200,Belarus,2016-05-01
1546,Netherlands,201605,332222,Belarus,2016-05-01
1547,Poland,201605,538681,Belarus,2016-05-01
1548,Portugal,201605,20244,Belarus,2016-05-01
1549,Romania,201605,222216,Belarus,2016-05-01
1550,Spain,201605,20,Belarus,2016-05-01
1551,Sweden,201605,93206,Belarus,2016-05-01
1552,United Arab Emirates,201605,5252,Belarus,2016-05-01
1589,Austria,201606,26946,Belarus,2016-06-01
1590,Belgium,201606,358445,Belarus,2016-06-01
1591,Denmark,201606,3357101,Belarus,2016-06-01
1592,France,201606,1550031,Belarus,2016-06-01
1593,Germany,201606,657872,Belarus,2016-06-01
1594,Greece,201606,78639,Belarus,2016-06-01
